"fips","pre_covid_cases","post_covid_cases","pre_week_diff"
"41009",39,36,19
"42037",72,52,20
"53013",0,2,0
"55021",230,622,32
"39029",59,184,13
"37047",121,175,25
"06011",37,12,-13
"48091",215,134,13
"20033",2,1,0
"40031",234,508,0
"48093",55,37,-35
"72045",56,26,-20
"48095",72,5,-54
"22029",15,53,-5
"01035",22,23,-6
"08021",4,26,4
"06013",1352,1040,-36
"56009",52,106,-8
"05029",39,27,-3
"13075",17,33,-3
"17031",9216,25760,462
"27031",1,12,1
"48097",73,66,17
"29053",94,109,2
"33007",1,42,-1
"41011",26,57,0
"01037",17,27,-3
"28029",54,76,12
"72047",157,136,-13
"46031",15,97,-9
"36023",47,180,-7
"48099",54,58,-12
"39031",5,107,1
"08023",0,4,0
"48101",4,7,4
"40033",4,20,0
"27033",18,46,2
"01039",144,175,20
"28031",45,99,-7
"51580",2,4,2
"13077",182,322,-18
"20035",88,101,-4
"53015",100,69,-2
"40035",111,50,-79
"51045",5,9,-1
"05031",622,764,12
"48103",1,4,1
"37049",491,318,265
"05033",321,298,3
"13079",3,8,-1
"17033",184,68,-52
"18025",13,37,3
"19047",181,109,-31
"20037",186,201,-12
"26039",9,21,-5
"29055",95,157,-29
"39033",41,218,1
"42039",53,187,-17
"55023",48,83,16
"40037",174,199,6
"01041",38,38,-2
"13081",47,32,17
"05035",137,315,-3
"21055",7,26,-7
"47033",77,201,-19
"48105",0,0,0
"41013",3,40,1
"56011",15,41,3
"48107",5,13,-1
"05037",69,71,-7
"27035",175,398,23
"08025",1,16,1
"48109",8,44,-6
"72049",0,1,0
"01043",125,529,-17
"51047",43,127,9
"17035",34,67,2
"21057",9,60,-1
"23005",71,186,13
"34011",101,145,-9
"37051",781,774,-37
"42041",207,331,43
"47035",123,249,-15
"51049",3,12,-1
"31039",52,85,16
"37053",47,10,-33
"35009",122,384,62
"41015",6,2,-4
"08027",0,3,0
"16037",13,8,9
"30017",32,144,-18
"31041",11,75,5
"40039",285,140,-15
"46033",26,72,-6
"39035",803,2315,-29
"13083",29,48,-13
"29057",27,21,7
"49009",0,0,0
"27037",829,1490,59
"31043",148,176,16
"01045",144,268,0
"48111",34,58,-8
"01047",74,53,6
"05039",14,3,2
"19049",232,383,8
"29059",33,126,-9
"48113",6714,7723,1086
"55025",2170,3268,18
"30019",2,27,-2
"51590",120,135,0
"37055",16,55,6
"39037",96,222,8
"45031",208,204,-42
"42043",238,558,8
"37057",317,419,21
"47037",1442,3484,-6
"37059",54,92,24
"18027",72,168,-12
"21059",247,296,-25
"29061",53,34,-3
"19051",20,43,-4
"49011",821,1773,159
"46035",148,345,50
"31045",16,68,6
"13085",61,48,5
"30021",15,117,-9
"31047",32,142,6
"48115",117,185,-11
"46037",32,48,6
"35011",0,1,0
"22031",45,58,-13
"17039",42,63,8
"48117",90,145,22
"18029",67,256,13
"13087",85,116,1
"18031",18,96,-6
"19053",9,49,-7
"20039",16,77,-8
"47039",113,75,-27
"30023",30,165,-24
"39039",71,142,25
"01049",168,543,4
"13089",1082,1475,32
"17037",258,658,18
"18033",80,224,-4
"29063",43,90,-3
"47041",40,136,12
"06015",9,8,3
"18035",268,654,24
"19055",161,191,39
"36025",7,24,1
"39041",297,424,11
"40041",136,177,32
"42045",527,1324,77
"08029",12,19,-8
"26041",321,383,145
"48119",5,3,3
"02068",6,12,4
"29065",40,45,-36
"48121",925,1852,19
"08031",1349,3552,23
"19057",113,367,31
"41017",141,181,27
"05041",32,60,0
"12027",31,62,9
"28033",418,927,16
"31049",0,6,0
"46039",19,53,-3
"40043",17,17,-7
"46041",50,130,16
"48123",52,26,-22
"48125",2,4,2
"51051",23,27,-5
"38021",42,124,12
"19059",93,145,9
"20041",117,78,35
"26043",91,308,29
"47043",149,292,-15
"02070",3,23,-1
"45033",148,66,-12
"48127",66,22,-60
"51053",56,68,-4
"11001",583,889,-31
"38023",2,31,2
"12029",31,40,-17
"31051",16,21,4
"54017",10,8,8
"13091",58,199,-26
"27039",87,71,21
"31053",202,277,6
"55027",494,1644,92
"08033",0,0,0
"35013",382,2104,78
"20043",27,38,9
"48129",7,5,3
"13093",28,22,-16
"55029",183,341,47
"72051",215,194,-29
"24019",48,147,-16
"45035",234,306,30
"13095",69,64,-7
"08035",433,890,-9
"13097",206,315,14
"17041",50,317,16
"20045",388,272,22
"27041",150,248,18
"29067",71,38,9
"31055",1673,3538,185
"32005",35,50,-3
"41019",49,67,-5
"46043",39,24,-9
"53017",45,49,7
"55031",157,146,55
"05043",15,52,3
"18037",107,286,17
"19061",973,1117,-7
"49013",6,64,2
"25007",4,15,-2
"31057",2,13,0
"29069",165,231,-11
"38025",48,24,-14
"55033",353,305,25
"17043",1482,4419,180
"37061",277,183,225
"37063",454,740,10
"36027",123,220,-27
"12031",1792,2546,-130
"48131",36,24,-8
"47045",245,482,-13
"08037",41,154,-5
"13099",46,38,4
"22033",491,566,-73
"22035",11,23,5
"22037",52,15,-14
"48133",27,42,3
"26045",100,351,20
"55035",666,1197,-70
"13101",3,6,1
"48135",369,934,-13
"35015",216,397,36
"38027",29,64,11
"17045",11,31,-1
"37065",175,305,19
"45037",302,61,-250
"21061",14,34,0
"46045",26,30,-10
"17047",11,21,-3
"20047",11,23,3
"48137",33,6,-33
"13103",131,197,-31
"17049",107,241,-13
"06017",97,105,31
"08041",445,2469,-37
"48141",2481,15574,383
"08039",18,53,2
"13105",105,45,1
"20049",4,2,0
"42047",7,78,1
"18039",615,1925,19
"32007",77,303,17
"21063",10,274,-2
"20051",296,174,-32
"40045",4,8,-2
